REGIAO;UF;DESTINATARIO;LOCALIDADE;ITEM;PROGRAMA DE SAUDE;QUANTIDADE;DATA DE SOLICITACAO;STATUS;DATA DE ENTREGA
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1500,0;;ENTREGA REALIZADA;2020/04/20 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;60000,0;;ENTREGA REALIZADA;2020/04/03 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO PURUS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;5000,0;;ENTREGA REALIZADA;2020/04/06 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;57500,0;2020/06/02 00:00:00.000;ENTREGA REALIZADA;2020/06/15 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;27000,0;2020/06/03 00:00:00.000;ENTREGA REALIZADA;2020/06/15 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO PURUS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1000,0;2020/06/30 00:00:00.000;ENTREGA REALIZADA;2020/07/01 00:00:00.000
NORTE;AMAPA;SAUDE INDIGENA;DSEI ALTO RIO PURUS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2500,0;;ENTREGA REALIZADA;2020/05/14 00:00:00.000
NORTE;AMAPA;SES;AMAPA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;27000,0;2020/06/03 00:00:00.000;ENTREGA REALIZADA;2020/06/26 00:00:00.000
NORTE;AMAZONAS;SAUDE INDIGENA;DSEI VALE DO JAVARI;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;9000,0;2020/06/12 00:00:00.000;EM ANDAMENTO;
NORTE;AMAZONAS;Distrito Sanitário Especial Indígena Médio Purus;LABREA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;8000,0;;ENTREGA REALIZADA;2020/04/29 00:00:00.000
NORTE;AMAZONAS;Distrito Sanitário Especial Indígena Médio Purus;LABREA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;9500,0;;ENTREGA REALIZADA;2020/02/27 00:00:00.000
NORTE;AMAZONAS;DSEI MEDIO PURUS;LABREA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;5500,0;2020/06/12 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;AMAZONAS;SES;MANAUS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;231000,0;;ENTREGA REALIZADA;2020/04/22 00:00:00.000
NORTE;AMAZONAS;Distrito Sanitário Indígena/DSEI MANAUS;MANAUS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;3000,0;;ENTREGA REALIZADA;2020/02/03 00:00:00.000
NORTE;AMAZONAS;Distrito Sanitário Especial Indígena - Parintins;PARINTINS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1500,0;;ENTREGA REALIZADA;2020/04/13 00:00:00.000
